Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\ir project\Project Outputs for ir project\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       14/07/26
Time:       21:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment               Layer    Footprint                         Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                
U1         ESP32-DEVKIT-V1       TopLayer MODULE_ESP32_DEVKIT_V1            4127.756      3354.331      270      "Dual core, Wi-Fi: 2.4 GHz up to 150 Mbits/s,BLE (Bluetooth Low Energy) and legacy Bluetooth, 32 bits, Up to 240 MHz"      
R4         "10k "                TopLayer resistor                          2560.115      3100.071      0        Resistor                                                                                                                   
R3         "100ohm "             TopLayer resistor                          2560.115      2917.643      0        Resistor                                                                                                                   
R2         "330 ohm "            TopLayer resistor                          2560.115      3282.499      180      Resistor                                                                                                                   
R1         "3.3ohm "             TopLayer resistor                          2560.115      3464.926      180      Resistor                                                                                                                   
Q1         AO3400A               TopLayer SOT95P280X125-3N                  2682.084      2505.507      0        "MOSFET (N-Channel)"                                                                                                       
J3         282834-2              TopLayer TE_282834-2                       5037.399      2268.701      270      "Terminal Block Connector PCB 2.54 mm 30-16 AWG Green 10 A 150 V M1.6 | TE Connectivity 282834-2"                          
J2         801-93-003-10-001000  TopLayer RHDR3W60P0X254_1X3_762X254X701P   4339.567      2361.220      0        Connector                                                                                                                  
J1         "8 pin female header" TopLayer SHDR8W99P0X254_1X8_2017X635X1124P 4087.205      1883.858      0        Connector                                                                                                                  
D2         RED_LED               TopLayer LEDRD254W57D500H1070              2557.092      3973.425      0        "LED, 5MM, ORANGE; LED / Lamp Size: 5mm / T-1 3/4; LED Colour: Orange; Typ Luminous Intensity: 4.3mcd; Viewing Angle: ..." 
D1         White_LED             TopLayer LEDRD254W57D500H1070              2542.320      2054.134      180      "LED, 5MM, ORANGE; LED / Lamp Size: 5mm / T-1 3/4; LED Colour: Orange; Typ Luminous Intensity: 4.3mcd; Viewing Angle: ..." 
C3         100nf                 TopLayer C320C                             3095.276      2270.665      0        ""                                                                                                                         
C2         100nf                 TopLayer C320C                             3095.276      2501.964      0        ""                                                                                                                         
C1         470uf                 TopLayer CAPPRD350W65D800H1300             3606.299      2371.329      0        "Capacitor Polarised"                                                                                                      
